id,name,birth_date,popularity,character_ids,movie_ids
0,William Williams,1976-03-14,7.511329291282609,1990;1082;1705;848;897;1158;1712;712;3181;273;1789;415;12;1360;667;65;1764;2626;686;1899;2769,191;427;702;1043;1050;1159;2021;2102;2420;2786;2833;3042;3767;4166;4361;5178;5551;5798;5918;6102;6270;6396
1,Kathy Simmons,1971-01-02,5.032954227950333,1992;1107;212;610;2927;1975;3011;549;723;919;952;3118;854;2835;479;1728;2547;358;782;327;1100;1606;2448;1833;1184;179;1458;2615,6;100;456;554;875;1197;1354;1473;1498;1527;1531;1834;1979;2252;2389;2568;2687;3759;3816;4672;4781;4851;4969;5341;5714;6029;6210;6374
2,Robert Nicholson,1974-12-17,0.10867576274206314,1464;1611;2538;1761;2211;2299;2803;3116;2193;2178;356;1336;2310;3108;46;1331;1391;3020;410;1554;1285;98;1703;2111,667;689;822;1167;1235;1249;1326;1368;1705;2162;2370;2510;2655;3227;3254;3439;3448;3676;3766;3921;4350;5099;5791;6303
3,Bradley Mullins DDS,1971-11-04,8.326800944180842,870;1492;54;1544;389;658;714;818;1249;2731;2479;562;73;833;1784;2059;1354;1706;2375;144,15;256;439;1137;1446;1490;1959;2908;2965;3174;4053;4247;4638;4745;4874;4920;5737;5791;5881;6490
4,Brandi Phillips,1988-03-30,6.799035440999415,1148;74;630;2050;665;775;1826;226;682;1946;3099;2922;2214;2392;2633;64;2332;2419;2717;1217;1641;2144;1999;2707;1372;2485;2702,623;1397;1485;1687;1952;1966;2118;2352;2415;3064;3226;3661;4014;4040;4537;4637;4954;4966;5004;5252;5316;5386;5829;5927;6199;6356;6387
5,Mrs. Maureen Martin DDS,1982-12-26,8.759765137307085,1079;1489;1937;147;458;944;1696;2368;2075;2421;1078;1231;1398;2819;702;1513;2394;1057;1132;1546;495;566;985;1205;1390;1317;2607;2688;2852;1767;847;1577;1731;310;2333;2480,614;671;736;943;989;1057;1158;1259;1689;1737;2011;2030;2057;2250;2419;2536;2667;2940;2951;3007;3321;3329;3387;3420;3447;3889;4070;4086;4571;4872;5200;5772;5794;6047;6333;6355
6,Allison Gibson,1996-09-11,5.5415592127596405,592;349;435;1210;2038;2724;2728;2647;2833;3200;1408;3100;871;890;1228;2337;2926;791;1451;14;307;381;2613;82,388;515;528;631;1208;1314;1780;2225;4107;4158;4368;4609;4750;5206;5253;5414;5494;5659;5753;6007;6046;6057;6374;6481
7,Michael Lopez,2003-06-25,8.295182306919571,1622;1293;1507;1513;648;854;2336;2558;1757;1784;2005;2227;311;1623;299;589;2095;2214;3096;1123;2840;2252;1634;1912;495;3059;2755;99;1132;2759,352;641;1130;1132;1488;1516;1725;1755;2108;2113;2138;2169;2364;2555;2838;2877;3084;3099;3687;3862;4108;4484;4854;4895;5155;5512;5935;6018;6163;6395
8,John Schultz,2002-09-20,9.191502300803746,1142;2487;1079;1563;1921;963;1032;1257;1794;1662;2925;3235;612;879;1100;1717;1857;1318;2119;3012;992;2542;2052;519;714;1089;2093;280;2563,622;1744;2011;2081;2129;2456;2466;2499;2578;3025;3204;3246;3336;3373;3403;3492;3965;4354;4465;4596;4766;4983;5373;5619;5649;5701;5842;6043;6367
9,Janice Vazquez,1980-04-20,5.01872437492266,3186;1795;1533;2667;39;561;1296;1955;1732;2081;1521;2612;3119;1605;2496;2662;188;814;2074;2839;457;1353;1822;2127;2931,280;1172;1614;1771;1861;2399;2504;2599;3035;3082;3468;3619;4146;4396;4518;4541;4653;4742;4922;5024;5609;6197;6261;6306;6418
